No,Nama Kos,Kamar mandi,Kasur,Lemari baju,AC,Parkiran,Wifi ,Harga,Jarak,patokan,alamat,Luas Kamar
15,Kost Sri Astuti Ratnaningsih Ciputat Timur Tangerang Selatan,0,1,1,1,motor,1,1200000,sedang,STAN,Ciputat timur,7
16,Kost H Marjukih Pondok Aren Tangerang Selatan,1,1,1,2,motor,1,700000,jauh,STAN,Pondok aren,5
17,Kost Baba Rosidi Pondok Aren Tangerang Selatan,1,2,1,2,motor,1,775000,jauh,STAN,Pondok aren,5
18,Kost Wisma Jdf Tipe Vip Kebon Jeruk Jakarta Barat,1,1,1,1,motor,1,1500000,jauh,BINUS,kebon jeruk,7
19,Kost Aderra Tipe A Kebon Jeruk Jakarta Bara,0,1,1,2,motor,2,1500000,jauh,BINUS,kebon jeruk,7
20,Kost Aderra Kebon Jeruk Jakarta Barat,0,1,1,2,motor,1,910000,jauh,BINUS,kecamatan kebon jeruk,7
21,Kost Mulya Palmerah Jakarta Barat,1,1,1,1,motor,1,1700000,jauh,binus,palmerah,7
22,Kost Fajar Kebon Jeruk Jakarta Barat,1,1,1,1,motor,1,2550000,jauh,BINUS,kecamatan kebon jeruk,9
23,Kost Kozy Arjuna Kebon Jeruk Palmerah Jakarta Barat,0,2,2,2,motor,1,1000000,jauh,BINUS,kecamatan palmerah,5
24,Kost Standar Palmerah Jakarta Barat,1,2,2,2,motor,2,900000,jauh,BINUS,kecamatan palmerah,5
25,Kost Belakang Bina Bangsa Kebon Jeruk Jakarta Barat,0,2,1,2,motor,2,750000,jauh,binus,kebon jeruk,5
26,Kost Rumah Rayhan Kebon Jeruk Jakarta Barat,1,1,1,2,motor,2,1200000,jauh,binus,kebon jeruk,7
27,Kost Omah 56 Tipe C Palmerah Jakarta Barat,0,1,1,1,motor,1,1250000,jauh,binus,palmerah,7
28,Kost Omah 56 Tipe E Palmerah Jakarta Barat,1,1,1,1,motor,1,1350000,jauh,binus,palmerah,7
29,Kost Omah 56 Tipe A Palmerah Jakarta Barat,0,1,1,2,motor,1,750000,jauh,binus,palmerah,5
30,Kost GK A Palmerah Jakarta Barat,1,1,1,1,motor,1,2100000,dekat,binus,palmerah,9
31,Kost Maudy Kebon Jeruk Jakarta Barat,1,1,1,1,motor,2,1600000,dekat,binus,kebon jeruk,9
32,Kost GK B1 Palmerah Jakarta Barat,1,1,1,1,motor,1,1800000,dekat,binus,palmerah,9
33,Kost GK C Palmerah Jakarta Barat,1,1,1,1,motor,1,1800000,dekat,binus,palmerah,9
34,Kost GK C Palmerah Jakarta Barat,1,1,1,1,motor,1,1800000,dekat,binus,palmerah,9
35,Kost Enthong Village Palmerah Jakarta Barat,1,1,1,1,motor,1,1750000,dekat,binus,palmerah,9
36,Kost Kafe Ngemil Kemanggisan Palmerah Jakarta Barat,1,1,1,1,motor,1,1500000,dekat,binus,palmerah,9
37,Kost H. Senin Tipe A Palmerah Jakarta Barat,0,1,1,2,motor,2,650000,dekat,binus,palmerah,5
38,Kost Latansa Tipe B Palmerah Jakarta Barat,0,1,1,2,motor,1,80000,dekat,binus,palmerah,5
